"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"44W"	"I_Train.csv"	"08/15/15"	28	2	3	6	10	1	1	1	0.848	0	-4	3	"Training 1"	3	"R"	0.625
"44W"	"I_Train.csv"	"08/15/15"	29	2	3	7	9	1	1	1	2.598	0	-2	3	"Training 1"	3	"R"	0.5625
"44W"	"I_Train.csv"	"08/15/15"	30	2	3	10	5	-1	1	1	1.567	0	5	3	"Training 1"	3	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/15/15"	31	2	3	7	8	1	1	1	1.538	0	-1	3	"Training 1"	3	"R"	0.533333333333333
"44W"	"I_Train.csv"	"08/15/15"	32	2	3	2	1	-1	1	1	0.868	0	1	3	"Training 1"	3	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/15/15"	33	2	3	10	1	-1	1	1	1.208	1	9	3	"Training 1"	3	"L"	0.0909090909090909
"44W"	"I_Train.csv"	"08/15/15"	34	2	3	4	6	1	1	1	0.737	0	-2	3	"Training 1"	3	"R"	0.6
"44W"	"I_Train.csv"	"08/15/15"	35	2	3	2	5	1	1	1	1.176	0	-3	3	"Training 1"	3	"R"	0.714285714285714
"44W"	"I_Train.csv"	"08/15/15"	36	2	3	3	9	1	1	1	4.896	0	-6	3	"Training 1"	3	"R"	0.75
"44W"	"I_Train.csv"	"08/15/15"	37	2	3	10	6	-1	1	1	0.911	1	4	3	"Training 1"	3	"L"	0.375
"44W"	"I_Train.csv"	"08/15/15"	38	2	3	8	9	1	1	1	3.964	0	-1	3	"Training 1"	3	"R"	0.529411764705882
"44W"	"I_Train.csv"	"08/15/15"	39	2	3	10	4	-1	1	1	2.529	0	6	3	"Training 1"	3	"L"	0.285714285714286
"44W"	"I_Train.csv"	"08/15/15"	40	2	3	3	7	1	1	1	0.756	0	-4	3	"Training 1"	3	"R"	0.7
"44W"	"I_Train.csv"	"08/15/15"	41	2	3	8	1	-1	1	1	4.513	1	7	3	"Training 1"	3	"L"	0.111111111111111
"44W"	"I_Train.csv"	"08/15/15"	42	2	3	1	6	1	1	1	0.903	1	-5	3	"Training 1"	3	"R"	0.857142857142857
"44W"	"I_Train.csv"	"08/15/15"	43	2	3	6	1	-1	1	1	0.614	1	5	3	"Training 1"	3	"L"	0.142857142857143
"44W"	"I_Train.csv"	"08/15/15"	44	2	3	2	6	1	1	1	1.246	1	-4	3	"Training 1"	3	"R"	0.75
"44W"	"I_Train.csv"	"08/15/15"	45	2	3	6	8	1	1	1	1.532	1	-2	3	"Training 1"	3	"R"	0.571428571428571
"44W"	"I_Train.csv"	"08/15/15"	46	2	3	2	8	1	1	1	0.826	1	-6	3	"Training 1"	3	"R"	0.8
"44W"	"I_Train.csv"	"08/15/15"	47	2	3	6	2	-1	1	1	1.266	0	4	3	"Training 1"	3	"L"	0.25
